indentation	style_name	style_description
;	East Asian Classical Music 	Covers all the forms of pan-East Asian Classical Music sharing origins in Chinese Classical Music.
;;	Chinese Classical Music 	Classical Music of China, encompassing royal court music.
;;;	Baisha xiyue 	Mainly performed for funeral ceremonies of the Naxi ethnic group in the Yunnan province in China.
;;;	Chinese Literati Music 	Music of the Chinese literati; primarily played on the guqin and invoking emotional restraint, self-cultivation, and introspection.
;;;	Dongjing 	Chinese Taoist ritual music from the Nakhi (Naxi) people, historically performed around Yunnan and Sichuan.
;;;	Nanyin 	Long-lasting tradition originating from southern Fujian; known for its delicate aesthetic, slow tempo, ancient repertoire and distinctive instrumentation.
;;;	Yayue 	Incorporates folk and religious traditions of Chinese Music; literally translated as 'elegant music'.
;;	Japanese Classical Music 	Classical music of Japan.
;;;	Gagaku 	One of the oldest forms of Japanese Classical Music, based on the pentatonic Yo scale, characterized by an elegant sound that is typically solemn, slow-paced, and resonant.
;;;	Heikyoku 	Semi-classical bardic tradition in Japan analogous to the troubadour music of medieval Europe.
;;;	Honkyoku 	Japanese Classical Music performed solo on a bamboo flute shakuhachi.
;;;	Jiuta 	Originally created by solo performers singing and playing shamisen, but since the late 18th century increasingly often performed by sankyoku ensembles (shamisen, koto and shakuhachi or kokyu).
;;;	Jōruri 	Consists of a singing narrator (tayū) with shamisen accompaniment.
;;;	Meiji shinkyoku 	Meiji-era compositions, using a distinctive, brighter scale, usually performed with two kotos.
;;;	Nagauta 	Japanese Classical Music used in Kabuki, a form of theatre oriented to dance-drama.
;;;	Noh 	Played by an hayashi ensemble, consisting of a fue (flute), a kotsuzumi (shoulder drum), a ōtsuzumi (hip drum), and a taiko (stick drum).
;;;	Shōmyō 	Japanese Buddhist chant that utilizes the yō scale.
;;;	Sōkyoku 	Gained popularity during the Edo period, played with a koto or a guzheng and sometimes accompanied by shamisen and/or shakuhachi.
;;;;	Danmono 	Sōkyoku composed for koto, a thirteen-string traditional instrument.
;;;;	Kumiuta 	Typically performed by a single singer playing koto or less often shamisen for accompaniment, often with lyrics adapted from classical poetry.
;;	Korean Classical Music 	Classical Music of Korea.
;;;	Aak 	Korean Classical Music that dates back to the early 12th century.
;;;	Dang-ak 	Korean Classical Music that dates back to the Later Silla period of 668–935.
;;;	Hyang-ak 	One of the most common and oldest surviving forms of Korean court music.
;;;	Jeong-ak 	Also known as proper music; dates back to the Later Silla period of 668–935.
;;;;	Gagok 	Vocal songs derived from Korean Classical Music backed by a small orchestra of Jeong-ak ("aristocratic or proper music").
;;	Vietnamese Court Music 	Traditional court music of Vietnam, specifically that of the Nguyễn dynasty.
;;;	Vietnamese Opera 	Classical musical theatre and its associated form of Vietnamese Court Music, related strongly to Chinese Opera.
;	Inkiranya 	Influential drumming style originating in Burundi carried out by a percussion ensemble.
;	Kete 	Traditional percussive style played at special occasions in the courts of high ranking Asante chieftains.
;	Maqāmic Music 	Originating in the Middle East and founded upon maqāmāt scales, encompassing an extensive and diverse cultural and musical legacy that spans from Morocco to Southeast Asia.
;;	Arabic Classical Music 	Arabic Classical Music tradition, whose guidelines for modulation, rhythm, and tuning were set down in treatises in the 8th and 9th centuries, based around Maqāmic Music.
;;;	Andalusian Classical Music 	Arabic Classical Music tradition that had its beginnings in Al-Andalus, the medieval Islamic Iberian peninsula, which later spread and developed in the Maghreb.
;;;	Iraqi Maqam 	Highly structured but semi-improvised and rhythmically complex compositions built around set structures which consist of specific maqam modes.
;;;	Sawt 	Poetic vocal form with complex rhythms, emotive singing, and distinctive lute-backed melodies commonly found in the Gulf region and based on a maqam system.
;;	Azerbaijani Mugham 	Highly improvisational form of modal music characterized by the singing style and the themes of Azerbaijan’s history.
;;	Persian Classical Music 	Traditional art music of the Persian civilization.
;;	Shashmaqam 	Modal suite that brings together lyrical and instrumental songs, poetry, and dance shared by Tajik Music and Uzbek Music.
;;	Sufiana kalam 	Classical music from Kashmir, the northernmost part of the Indian subcontinent.
;;	Turkish Classical Music 	Classical music of Turkey, which uses the makam modal system, with the primary emphasis often being on the singers, who are accompanied by small ensembles.
;;;	Turkish Mevlevi Music 	Traditional music performed among Turkish practitioners of the Mevlevi order of Sufism.
;;	Twelve Muqam 	Uyghur muqam suite of 12 different muqam performances, originating in Southern Xinjiang.
;	Minyue 	Modernized composition for Chinese instruments on the basis of Chinese Folk Music, incorporating aspects of Western Classical Music.
;	Pìobaireachd 	Art tradition which originated in the Scottish Highlands, usually associated with the Great Highland bagpipes.
;	South Asian Classical Music 	Meta-genre that covers the diverse forms of Classical Music from South Asia.
;;	Carnatic Classical Music 	Culture shared by the Dravidian cultures in South India separate from regional folk genres.
;;;	Konnakol 	Traditional song utilizing solkattu, syllablic patterns to mimic instrumentation.
;;	Hindustani Classical Music 	North Indian traditional music (including parts of Pakistan, Afghanistan, Nepal, Bangladesh, and Bhutan) with roots reaching back to the 12th century CE.
;;;	Dhrupad 	Ancient style of classical Hindustani vocal and instrumental music.
;;;	Kafi 	Sufi vocal style popular in Pakistan, differentiated from Qawwali by its small ensemble size and simple arrangements.
;;;	Khayal 	Predominant vocal style, often with a significant amount of improvisation.
;;;	Klasik 	Encompassing the various styles of Afghan Classical Music, which diverged from the North Indian styles.
;;;	Qawwali 	Sufi Music in India and Pakistan using the raga and tala templates of Hindustani Classical Music.
;;;	Shabad kirtan 	Religious Sikh Hymns backed by specially selected ragas and taal.
;;;	Tarana 	Vocal composition with Persian or Arabic syllables and phonemes.
;;;	Thumri 	Hindustani classical style based on North Indian folk literature.
;;	Odissi Classical Music 	Traditional dance and classical music from the Odisha region of Eastern India.
;	Southeast Asian Classical Music 	Formal music developed in Southeast Asian countries (Burma, Cambodia, Thailand, Indonesia, Malaysia, Philippines, East Timor, Brunei Darussalam) usually in form of gong-chime orchestras such as gamelan, kulintang and pi phat.
;;	Burmese Classical Music 	Traditional court music of Myanmar, developed from Southeast Asian, Hindu and Chinese influences.
;;	Gamelan 	Originated in the island of Java; played by an ensemble typically consisting of metallophones and gongs, sometimes augmented with drums, flutes, and human voices.
;;;	Balinese Gamelan 	Broad classification grouping various forms of Gamelan with native roots in Bali.
;;;;	Gamelan angklung 	Takes its name from the angklung, an instrument made of bamboo tubes.
;;;;	Gamelan beleganjur 	Loud, chaotic, highly percussive, and with heavy tempo changes.
;;;;	Gamelan gender wayang 	Performed with two/four metallophones made out of bronze keys with suspended bamboo tube resonators connected to them.
;;;;	Gamelan gong gede 	Ceremonial style characterized by a simpler and more melodic approach with clearer and more stable progressions compared to other Balinese orchestras.
;;;;	Gamelan gong kebyar 	Free compositional techniques and rapidly changing dynamics.
;;;;	Gamelan jegog 	Played entirely on marimba-like instruments made from bamboo which widely differ in size.
;;;;	Gamelan selonding 	Ensemble consists of four to six musicians playing metallophones made out of iron in a seven-tone scale.
;;;;	Gamelan semar pegulingan 	Originated in the 16th-17th centuries; features a soft, delicate, and ethereal sound.
;;;	Gamelan degung 	Sundanese Gamelan performed by a small orchestra of bronze gongs and metallophones.
;;;	Javanese Gamelan 	Broad classification grouping Gamelan genres native to Javanese culture.
;;;;	Gamelan sekaten 	Javanese ceremonial Gamelan played with large instruments, strictly unaccompanied by vocals.
;;;;	Solonese Gamelan 	Style originating from Surakarta; known for its subtle and more delicate sound.
;;;	Malay Gamelan 	Developments of Gamelan that are performed by Malay native groups, mostly established by the Pahang and Terengganu royal courts of the Malay Peninsula.
;;	Kacapi suling 	Sundanese music played by an ensemble consisting of one or two kacapis (zithers), one suling (flute), and occasionally a set of kendangs (drums).
;;	Kakawin 	Form of Indonesian poetry written in Kawi, performed melodically using a structured pattern of long and short syllables.
;;	Kulintang 	Southeast Asian gong-chime ensemble consisting mainly of gong-chimes of various sizes, with the addition of larger gongs, various drums, and occasionally xylophones and non-percussion instruments.
;;	Mahori 	Thai and Khmer traditional orchestra combining xylophones and gong-chimes of Piphat/Pinpeat with strings of Khrueang sai ensemble.
;;	Malay Classical Music 	Traditionally played in the royal courts of the several Malay kingdoms, empires and sultanates that existed throughout history.
;;;	Malay Gamelan 	Developments of Gamelan that are performed by Malay native groups, mostly established by the Pahang and Terengganu royal courts of the Malay Peninsula.
;;	Pinpeat 	Orchestra of wind and percussion instruments having its origins in the Khmer Empire era.
;;	Saluang klasik 	Played by a duo or a trio of musicians, including a saluang (a kind of end-blown bamboo flute) player and a traditional singer.
;;	Talempong 	Gong-chime ensemble focused around the talempong kettle gong.
;;	Tembang Sunda Cianjuran 	Sung free-verse poetry in Sundanese language, usually by a solo vocalist, accompanied by a mellow-sounding Kacapi suling ensemble.
;;	Thai Classical Music 	Emerged from the royal courts of Central Thailand around the 13th century, based on a traditional Thai sound-scale of seven tempered notes.
;;;	Fon leb 	Traditional performance music originating in northern Thailand consist of an ensemble with Piphat instruments and a pair of female choreographers.
;;;	Khrueang sai 	Thai Classical Music emphasizing string instruments while also incorporating other kinds of instruments to enrich the sound.
;;;	Piphat 	Led by wind and percussion instruments, with ensembles ranging from 6 to 10 instruments.
;	Tibetan Buddhist Chant 	Ritual vocal music of the Tibetan Buddhist faith characterized by its low pitch, droning repetitiousness, and frequent use of overtone singing.
;	Western Classical Music 	Broad range of art music associated with the aristocracy that originated in Europe around 500 AD.
;;	Art Song 	Vocal music with text often set to Poetry, typically for single vocalist with instrumental accompaniment, distinguished by its design for concert recital and high artistic demands requiring classically trained musicians.
;;;	Elizabethan Song 	Monophonic style developed in Renaissance England that is typically composed in strophic form for one to several vocalists with instrumental accompaniment ranging from solo lute to chamber ensemble.
;;;	Lied 	Form of song arising from 19th century German Romanticism, usually for solo vocalist & piano with a text derived from poetry.
;;;	Mélodie 	French form typically with a greater emphasis on emotional restraint, refinement, subtlety, and concision.
;;;	Orchestral Song 	Classical song for solo voice or voices with orchestral accompaniment.
;;	Bagatelle 	Brief composition with an unpretentious, playful sound.
;;	Ballet 	Western art music, often Orchestral Music, written to accompany classical dance productions of the same name.
;;;	Ballet de cour 	Earliest form developed by the French royal court and characterized by its artistic diversity, regimented structure, grand spectacle, and overt political elements.
;;;	Comédie-ballet 	French form of musical drama from the 17th century that combines operatic singing, classical dance, and theater.
;;;	Opéra-ballet 	Principally French style of musical drama that combines operatic singing with classical dance, usually with small Orchestral Music accompaniment.
;;	Baroque Music 	Constant rhythmic flow, or a steady motion throughout, generally focusing on a single melodic idea and including some form of counterpoint.
;;;	Ballet de cour 	Earliest form developed by the French royal court and characterized by its artistic diversity, regimented structure, grand spectacle, and overt political elements.
;;;	Comédie-ballet 	French form of musical drama from the 17th century that combines operatic singing, classical dance, and theater.
;;;	Opéra-ballet 	Principally French style of musical drama that combines operatic singing with classical dance, usually with small Orchestral Music accompaniment.
;;;	Zarzuela barroca 	Earliest form that draws from a broad range of artistic sources, including theater, operatic singing, instrumental music, dance, popular music, poetry, and comedy.
;;	Baroque Suite 	Collection of varied dance pieces, usually in the same key, structured on the music of European courtly dances.
;;	Brazilian Classical Music 	Originated in the late 19th century, taking the European music that had been brought to the country by colonists and brought in parts of Brazilian Music.
;;;	Valsa brasileira 	Brazillian Waltz characterized by its slow rhythms and romantic sound.
;;	Byzantine Music 	Music from Byzantine era.
;;;	Byzantine Chant 	Liturgical chant of Christian churches following the Orthodox rite.
;;	Cantata 	Vocal style for solo singers with instrumental & Choral accompaniment comparable to Oratorio, though often smaller in scale, more songlike, and with less focus on dramatic narrative.
;;	Canzona 	Song-like structures and a contrapuntal texture technique known as imitation.
;;	Capriccio 	Typically short and loosely structured, characterized by spontaneity, humor, and technicality.
;;	Chamber Music 	Western Classical Music performed by a small ensemble, usually only a few performers.
;;	Character Piece 	Broad instrumental genre, usually for solo piano, written to evoke an extramusical concept or mood.
;;	Choral 	Choir-sung classical works covering periods from medieval music (an early form being Gregorian Chant) up to present day.
;;;	Choral Concerto 	Composition for unaccompanied choir, set to sacred texts of Eastern Orthodox tradition.
;;;	Choral Symphony 	Combines symphonic Orchestral Music forces & structure with vocal parts for choir.
;;;	Mass 	Composition for choir, with or without instrumental accompaniment, that sets to music text from the liturgy of the Eucharist, principally from the Latin rites of the Roman Catholic Church.
;;;;	Requiem 	Musical setting commemorating the deceased with text usually derived from the Roman Catholic mass of the dead.
;;	Cinematic Classical 	Orchestral compositions generally associated with soundtracks to modern high-budget films, games, and other non-live media.
;;;	Epic Music 	Often associated with Electronic production, heavy percussion such as taiko drums, Choral vocals, and orchestral instrumentation to create a bombastic style commonly linked to movie trailers.
;;;	Spaghetti Western 	Epic, cinematic sound evoking imagery of the Wild West, featuring a Surf Rock-inspired guitar tone while taking inspiration from the melodies and harmonies of traditional Mexican Music.
;;	Classical Period 	Refers to the phase in Western Classical Music history occurring from roughly 1750 to 1820, characterized by its emphasis on clarity, simplicity, and balance.
;;	Divertissement 	Straightforward tuneful music historically written to serve as light entertainment for events or as interstitial movements within larger theatrical works.
;;	Étude 	Composition written to both showcase & sharpen a particular playing or compositional technique, often requiring great skill from its performers.
;;	Fantasia 	Free-form, improvisational, and with contrasting sectional writing, sometimes based on preexisting melodies and generally meant to evoke a sense of imaginative exploration.
;;	Fugue 	Contrapuntal composition and technique for a fixed numbers of musical voices; following the imitations of one main theme.
;;	Impromptu 	Composition written to sound like a spur-of-the-moment improvisation.
;;	Latin American Classical Music 	Western Classical Music with influences from Hispanic American Music.
;;	Light Music 	Instrumental, typically through-composed style performed by an orchestra or small ensemble, with simpler arrangements and an emphasis on strong melodies.
;;	Madrigal 	Secular polyphonic music based around poetry and generally performed by unaccompanied vocal ensembles of two to eight persons.
;;	Medieval Classical Music 	Composed during the Medieval period lasted approximately from the 5th to the late 15th centuries.
;;;	Ars antiqua 	Mainly sacred European medieval music from the period of 1170 to 1310, featuring the birth of measuring time in music and the use of polyphonies for four voices.
;;;	Ars nova 	Period (around 1310-1380) that succeeded Ars antiqua, mixing the sacred with the secular.
;;;	Ars subtilior 	Emerged in the final period of late medieval music (around 1380-1420) and continued to use the technique of isorhythms but with added complexity.
;;;	Contenance angloise 	Distinct style of Polyphonic Chant developed in fifteenth-century England.
;;;	Medieval Lyric Poetry 	Lyric poetry from Medieval Europe, roughly from the 11th to the 14th century, most prominently the troubadours of southern France.
;;;	Plainsong 	Monophonic chanting in the context of Roman Catholic and modern Anglican liturgy.
;;;;	Ambrosian Chant 	Liturgical chant practiced in parts of Italy and Switzerland, characterized by stepped melodic progression.
;;;;	Canto beneventano 	Extinct plainchant tradition of Southern Italy characterized by lengthy melodies, extensive use of repetition, and a steady, undulating progression.
;;;;	Canto mozárabe 	Iberian form of plainchant that flourished roughly 550-1085 AD.
;;;;	Celtic Chant 	Extinct tradition of Catholic liturgical chant developed by the Celtic Christians of Britain, Ireland, and Brittany.
;;;;	Gallican Chant 	Extinct plainchant tradition originating from the region of Gaul (now modern-day France).
;;;;	Gregorian Chant 	Liturgical, monophonic chant that accompanied Mass and other rituals in Western Christianity.
;;;;;	Sarum Chant 	Latin Plainsong tradition of Salisbury, England, characterized by its unadorned simplicity.
;;;;	Old Roman Chant 	Plainchant tradition of Medieval Rome that was closely related to Gregorian Chant, though often more musically ornate.
;;	Modern Classical 	Multitude of different compositional approaches beginning in the 20th century that deviate significantly from the previously-held tenets.
;;;	Expressionism 	Originating between the abandonment of tonality at the conclusion of the period of Romanticism and the creation of twelve-tone composition.
;;;	Futurism 	Radical and militant attitude, rejection of Western Classical Music and traditional criteria of craft, non-conformity, and a fascination with machines.
;;;	Impressionism 	Originated in late 19th to early 20th century France as a reaction to Romanticism, placing a greater focus on depicting atmosphere and mood rather than fixed concepts.
;;;	Indeterminacy 	Leaves elements of composition, performance, or both up to chance.
;;;	Microtonal Classical 	Eschews the traditional twelve-tone scale of Western Classical Music, utilizing intervals outside of its bounds.
;;;	Minimalism 	Developed in the United States in the 1960s; recognized for its repetitive nature and use of static harmony.
;;;;	Holy Minimalism 	Style informed by Christian Liturgical Music that emphasizes slow sustained rhythmic values, soft dynamics, and silence to produce a contemplative and reverential atmosphere.
;;;	Musique concrète instrumentale 	Acoustic, through-composed Classical Music that relies heavily on unconventional instrumental techniques.
;;;	New Complexity 	Dense, difficult, and rigorously academic approach to Modern Classical composition which emerged in the 1980s.
;;;	Post-Minimalism 	Seeks to push Minimalism's linear composition style forward, and takes in influences from genres such as Jazz, Traditional Folk Music, and others.
;;;;	Totalism 	Adds complex rhythmic structures and emphasis on surface energy to Minimalism.
;;;	Process Music 	Compositions centering musical processes, both audible and inaudible.
;;;	Serialism 	Compositional method in which pitches are grouped into sets (tone rows) to determine the order and frequency of their use.
;;;;	Integral Serialism 	Application of twelve-tone technique in early Serialism to as many compositional factors as possible (in an attempt to apply total serial control).
;;;	Sonorism 	Techniques and forms that emphasize texture and timbre.
;;;	Spectralism 	Compositional practice involving analysis, manipulation, and transformation of sound spectra.
;;;	Stochastic Music 	Composition featuring guided indeterminism, where the following state is only partially determined by the preceding state.
;;	Motet 	Extremely diverse form of vocal music, usually written as a style of Polyphonic Chant for A cappella soloists or choir.
;;	Neoclassicism 	Return to the more formal and less expansive structures and forms, beginning shortly after World War I as a reaction to what some composers perceived as excesses of Romanticism.
;;	Nocturne 	Intimate character piece meant to evoke associations with the night, usually written for solo piano.
;;	Opera 	European tradition which combines drama and distinctive vocal style in the context of Western Classical Music, usually performed as a theatrical work on stage.
;;;	Ballad Opera 	English reaction to the Italian Opera styles with a satirical sense of humor and scores borrowing from Traditional Folk Music and popular music.
;;;	Grand opéra 	French style characterized by its enlarged scope and sense of grandeur, with bigger orchestras and casts, and ornate sceneries and costumes.
;;;	Monodrama 	Mostly modern style written for a single virtuoso singer with accompaniment, often shorter in length and with a more philosophically introspective or abstract libretto.
;;;	Opéra-ballet 	Principally French style of musical drama that combines operatic singing with classical dance, usually with small Orchestral Music accompaniment.
;;;	Opera buffa 	Lighthearted and amusing counterpart to Opera seria; developed in Naples in the first half of the 18th century.
;;;	Opéra-comique 	French style of Opera characterized by the use of some spoken dialogues to connect major arias and sung parts, as well as a more restrained approach to recitatives.
;;;	Opera semiseria 	Popular in the early and middle 19th century, containing appeals to emotion of Opera seria as well as some comedy elements present in Opera buffa.
;;;	Opera seria 	Italian Opera popular among European nobility and royalty throughout most of the 18th century, typified by its exaggerated dramatic flair and interspersed with dry recitative.
;;;	Operetta 	Light opera interspersed with spoken dialogues, being usually satirical and/or humorous in nature and centered around romantic plots and dancing scenes.
;;;;	Kalon'ny fahiny 	Fusion of music from the highlands of Madagascar and western Operetta.
;;;	Romantische Oper 	Early 19th century Germanic style of Opera influenced by German Folk Music and legends with a focus on fantasy, emotivity, heroic figures, and nationalism.
;;;	Singspiel 	German form of Opera distinguished by the prominent usage of spoken dialogues mixed with lyrical or folklore arias/ballads.
;;;	Tragédie en musique 	French Opera genre developed by Jean-Baptiste Lully and Philippe Quinault in the second half of the 17th century, consisting of alterations made to the coeval Italian format to better fit the French language and please an audience more accustomed to the ballet de cour.
;;;	Verismo 	Developed in Italy around the turn of the 20th century and favored melodramatic realism, a rejection of bel canto standards, and declamatory singing.
;;;	Zarzuela 	Spanish dramatic genre where spoken scenes are mixed with passages sung in operatic or popular styles.
;;;;	Género chico 	Light, small-scale musical comedy with mild social commentary, populist themes, and catchy melodies.
;;;;	Zarzuela barroca 	Earliest form that draws from a broad range of artistic sources, including theater, operatic singing, instrumental music, dance, popular music, poetry, and comedy.
;;;;	Zarzuela grande 	Romantic musical comedy akin to Operetta developed during the mid-19th century.
;;;	Zeitoper 	Short-lived scene in Weimar Germany, often having satirical plots and allusions to popular music.
;;	Oratorio 	Composition for vocal soloists, choir, and orchestra, often making use of a comprehensive textbook of contemplative nature.
;;	Orchestral Music 	Western Classical Music performed by an orchestra.
;;;	Concert Band 	Music for large ensemble of woodwinds, brass, and percussion.
;;;	Concerto 	Multi-movement classical works for orchestra and one or more soloists.
;;;;	Concerto for Orchestra 	Mostly modern form in which virtuosic solo passages are alternately played among different portions of the orchestra.
;;;;	Concerto grosso 	Oldest form developed during the Baroque Music era in which the body of the music is alternately shared between a small group of soloists and a larger orchestra.
;;;;	Sinfonia concertante 	Fuses symphonic compositional structure and instrumentation with parts written for concertante soloists.
;;;	Orchestral Song 	Classical song for solo voice or voices with orchestral accompaniment.
;;;	Symphony 	Large-scale Western Classical Music works for orchestra, typically with four movements: 1) allegro, almost always in sonata-allegro form 2) a slow movement 3) scherzo or minuet 4) finale, typically allegro or rondo.
;;;;	Choral Symphony 	Combines symphonic Orchestral Music forces & structure with vocal parts for choir.
;;;;	Sinfonia concertante 	Fuses symphonic compositional structure and instrumentation with parts written for concertante soloists.
;;;	Tone Poem 	Programmatic work, usually in a single movement, that is entirely based on external non-musical themes, ideas, tales, etc.
;;	Overture 	Typically single-movement form akin to the Tone Poem written as the prelude to a larger work or in association with a programmatic concept.
;;	Prelude 	Brief work with an improvisatory feeling, usually for keyboard, that serves either as a standalone piece or an introduction to a complimentary work of music.
;;	Renaissance Music 	Encompasses Western Classical Music from the 15th to 16th centuries.
;;;	Contenance angloise 	Distinct style of Polyphonic Chant developed in fifteenth-century England.
;;;	Elizabethan Song 	Monophonic style developed in Renaissance England that is typically composed in strophic form for one to several vocalists with instrumental accompaniment ranging from solo lute to chamber ensemble.
;;	Ricercar 	Early instrumental genre, usually for solo lute or keyboard, written either as a brief introductory work or imitative contrapuntal piece.
;;	Romanticism 	Expressive and emotional qualities, especially in terms of melody.
;;;	Grand opéra 	French style characterized by its enlarged scope and sense of grandeur, with bigger orchestras and casts, and ornate sceneries and costumes.
;;;	Romantische Oper 	Early 19th century Germanic style of Opera influenced by German Folk Music and legends with a focus on fantasy, emotivity, heroic figures, and nationalism.
;;	Serenade 	Light, tuneful, and relatively straightforward music historically associated with outdoor entertainment for evening gatherings.
;;	Sonata 	Broad instrumental genre for one to three soloists that has changed significantly throughout its history, now typically a suite of four or fewer contrasting movements, at least one of which is written in sonata form.
;;	Spanish Classical Music 	Incorporation of Spanish Music within the context of Western Classical Music, particularly characterized by the use of the classical guitar.
;;;	Canto mozárabe 	Iberian form of plainchant that flourished roughly 550-1085 AD.
;;;	Zarzuela 	Spanish dramatic genre where spoken scenes are mixed with passages sung in operatic or popular styles.
;;;;	Género chico 	Light, small-scale musical comedy with mild social commentary, populist themes, and catchy melodies.
;;;;	Zarzuela barroca 	Earliest form that draws from a broad range of artistic sources, including theater, operatic singing, instrumental music, dance, popular music, poetry, and comedy.
;;;;	Zarzuela grande 	Romantic musical comedy akin to Operetta developed during the mid-19th century.
;;	Theme and Variation 	Main theme followed by a number of variations on the theme.
;;	Toccata 	Virtuoso piece, usually for solo keyboard or plucked string instrument, characterized by its free rhythm, rapid fingerwork, and contrasting sectional writing.
	Country 	American genre derived from Southern and Appalachian forms of American Folk Music and later Rock and Pop influences, with a focus on the life and culture of rural America.
;	Alt-Country 	Arose in the 1980s and 1990s, performed by artists with roots in Alternative Rock and Indie Rock who were disconnected from the mainstream Country industry.
;;	Gothic Country 	Evokes the Southern Gothic literary genre through morbid lyrical themes and melancholic sounds that emphasize its American Folk Music and Post-Punk influences.
;	Bluegrass 	Born in the Appalachian region of the United States during the late 1930s, characterized by fingerpicked banjo along with other traditional instruments.
;;	Progressive Bluegrass 	Modernization with varied influences including Jazz, Folk, Rock, and other forms of Country.
;;;	Jamgrass 	Emphasizes instrumental jamming and extended performances with many outside influences.
;;	Traditional Bluegrass 	Driving tempos, acoustic stringed instrumentation, and high vocal harmonies, adhering to the stylistic roots of the Bluegrass genre.
;;;	Bluegrass Gospel 	Incorporates the religious topics and harmony vocals found in Country Gospel.
;	Contemporary Country 	Incorporates both heavily Pop-influenced styles, and the more pop-averse movement of Neo-Traditionalist Country.
;;	Bro-Country 	21st century style with an often party-oriented sound and lyrical content, taking strong influence from Hard Rock, Hip Hop and Pop.
;;	Neo-Traditionalist Country 	Emerged in the late 1980s as a reaction to the increased dominance of Country Pop, moving instead towards a Honky Tonk-rooted sound that centered the Singer-Songwriter.
;	Country & Irish 	Developed in Ireland; combines North American Country with Irish Folk Music influences, often in the form of traditional Irish songs that have been adapted into country numbers.
;	Country Boogie 	Uptempo style built around the Boogie Woogie rhythm, with strong beats and prominent electric guitar leads, made popular in the 1940s.
;	Country Pop 	Combination of Country with Pop to appeal to a larger audience.
;;	Bro-Country 	21st century style with an often party-oriented sound and lyrical content, taking strong influence from Hard Rock, Hip Hop and Pop.
